date,Straddle,Call Ratio Spread,Calendar Spread,straddle_momentum
2021-01-01,218180.30301070213,19652.437615750532,78673.88473321756,0.0
2021-01-04,213489.30150527688,21671.022828644775,77504.88811187826,0.0
2021-01-05,220281.73451202075,18765.707473970946,76782.5431805683,0.0
2021-01-06,216441.42312842872,19649.762819525036,77251.5898469776,0.0
2021-01-07,214888.02821624244,19966.309391910218,79047.32381919865,0.0
2021-01-08,412208.9201018944,35092.67344574007,149152.3120385903,0.0
2021-01-11,421367.9866006225,35097.18899040956,152776.21327801284,0.0
2021-01-12,433338.83886026195,32086.514846766724,152579.18787418664,0.0
2021-01-13,431645.780347011,31587.77747401453,152464.37739172473,0.0
2021-01-14,423788.98889986606,31906.23286360871,154944.57245704345,0.0
2021-01-15,650714.1696839954,48626.20388280761,230216.13460901976,0.0
2021-01-18,632057.6713179697,56082.438423558466,240279.9970144526,0.0
2021-01-19,614368.7135972466,59354.74271295108,239514.0056012043,0.0
2021-01-20,639116.7905391931,52635.44321693224,231024.08501477752,0.0
2021-01-21,637275.290792655,54061.24468230998,231823.7741550186,0.0
2021-01-22,864964.7937796514,78631.12794398423,293806.70828297164,0.0
2021-01-25,825551.6739668538,88404.8536359508,309417.0981476433,0.0
2021-01-26,809184.5484220544,92235.165948394,309576.5985283108,0.0
2021-01-27,844289.9820812733,109043.45859641617,295823.57676619064,0.0
2021-01-28,875429.03562985,79743.6690668268,302706.0063450486,0.0
2021-01-29,1058105.4068595623,102013.88148513871,385746.3644237331,222337.30294991983
2021-02-01,916926.4712055475,107746.38037850267,408629.2438686888,216006.01300413863
2021-02-02,889258.95386826,116601.73784953817,408013.97520146746,209620.79475201003
2021-02-03,861023.9327174877,118513.58568951156,398737.81302753324,204833.30367286084
2021-02-04,818606.8131681054,113861.39012835134,397513.50969170476,196301.59862098366
2021-02-05,1019249.2982654482,125557.67468344813,466808.1707055125,200585.12310896633
2021-02-08,939393.1478178836,121494.5630343919,468357.29224533564,193775.76895263683
2021-02-09,920944.1678516219,125397.48061406404,461801.66921288153,188436.77615915544
2021-02-10,881075.7141938036,121451.78485252487,441071.61523387703,180334.4966127632
2021-02-11,858097.3563649405,112587.13166640243,447420.25797646225,175554.43530178658
2021-02-12,1045843.0395662723,129607.17666954627,528650.9492331799,178982.06889652018
2021-02-15,893003.5307851204,134156.90994249558,542475.9956504593,182394.8601140746
2021-02-16,885067.5486533078,134272.5389627133,544542.3791060674,181255.24501465203
2021-02-17,872049.9836132121,133375.03423620842,542212.9290632543,177831.7580805072
2021-02-18,856544.153255965,129953.250558187,534604.624024205,175819.70952784747
2021-02-19,1012078.1198766397,139825.73367811347,601421.7920045233,167276.65905638252
2021-02-22,943987.3663034461,149551.11472262169,606792.2910521912,165950.4572028918
2021-02-23,958264.4312946999,142357.70775228846,622723.5782634161,166670.19372031937
2021-02-24,1050084.787545716,140096.18936585783,657387.1948716196,180516.66992955896
2021-02-25,1166909.5254481467,154961.96815795437,631287.5748601715,192834.3119471545
2021-02-26,1501363.4203056118,155265.11669049342,743265.0795808517,434893.8008790639
2021-03-01,1597278.0529927537,118458.30710563714,804405.1635494289,470523.62592370616
2021-03-02,1629474.9938626466,112666.48758930934,829842.6721036314,477399.3058904236
2021-03-03,1595205.2103364067,119660.14699528812,815470.4385991014,473102.8921532476
2021-03-04,1562220.880512314,117568.64172264474,820242.3593135591,465166.10731235344
2021-03-05,1854770.3154573562,135425.2016651167,960145.4024817448,480768.47691258776
2021-03-08,1699954.412739211,140918.03708435412,982599.3252281277,480540.330461315
2021-03-09,1683316.8951447145,142109.35223190082,971190.8098146273,477064.18562441436
2021-03-10,1679659.7640822162,140019.43290420575,968376.420000406,476712.79931640066
2021-03-11,1663080.6835434388,137866.5551166696,941157.9536535587,474812.2071901394
2021-03-12,1852284.5854270915,149381.6604124651,1011468.7556148937,472555.7634912754
2021-03-15,1670431.6316406154,150966.6372621005,1008198.4934477449,469308.20349990425
2021-03-16,1660431.5247904027,152426.0620502781,992140.6865333995,467421.39122363814
2021-03-17,1644647.6554770002,154567.727093762,980537.9634801743,465266.9703175212
2021-03-18,1580718.6667888158,152177.08894867531,926659.0279259542,463362.23692075943
2021-03-19,1775542.7240347043,166948.54205817802,1017856.1097875017,459062.0171320084
2021-03-22,1632282.1997314868,168170.90223169525,1013032.8967543218,460026.89076193556
